phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
92.481400,117.236364,117.236364,0.000000,0.000000
92.760800,117.236364,117.236364,0.000000,0.000000
93.040200,117.236364,117.236364,0.000000,0.000000
93.319600,117.236364,117.236364,0.000000,0.000000
93.599000,117.236364,117.236364,0.000000,0.000000
93.878400,117.236364,117.236364,0.000000,0.000000
94.157800,117.236364,117.236364,0.000000,0.000000
94.437200,117.236364,117.236364,0.000000,0.000000
94.716600,117.236364,117.236364,0.000000,0.000000
94.996000,117.236364,117.236364,0.000000,0.000000
95.275400,117.236364,117.236364,0.000000,0.000000
95.554800,117.236364,117.236364,0.000000,0.000000
95.834200,117.236364,117.236364,0.000000,0.000000
96.113600,117.236364,117.236364,0.000000,0.000000
96.393000,117.236364,117.236364,0.000000,0.000000
96.672400,117.236364,117.236364,0.000000,0.000000
96.951800,117.236364,117.236364,0.000000,0.000000
97.231200,117.236364,117.236364,0.000000,0.000000
97.510600,117.236364,117.236364,0.000000,0.000000
97.790000,117.236364,117.236364,0.000000,0.000000
98.069400,117.236364,117.236364,0.000000,0.000000
98.348800,117.236364,117.236364,0.000000,0.000000
98.628200,117.236364,117.236364,0.000000,0.000000
98.907600,117.236364,117.236364,0.000000,0.000000
99.187000,117.236364,117.236364,0.000000,0.000000
99.466400,117.236364,117.236364,0.000000,0.000000
99.745800,117.236364,117.236364,0.000000,0.000000
100.025200,117.236364,117.236364,0.000000,0.000000
100.304600,117.236364,117.236364,0.000000,0.000000
100.584000,117.236364,117.236364,0.000000,0.000000
100.863400,117.236364,117.236364,0.000000,0.000000
101.142800,117.236364,117.236364,0.000000,0.000000
101.422200,117.236364,117.236364,0.000000,0.000000
101.701600,117.236364,117.236364,0.000000,0.000000
101.981000,117.236364,117.236364,0.000000,0.000000
102.260400,117.236364,117.236364,0.000000,0.000000
102.539800,117.236364,117.236364,0.000000,0.000000
102.819200,117.236364,117.236364,0.000000,0.000000
103.098600,117.236364,117.236364,0.000000,0.000000
103.378000,117.236364,117.236364,0.000000,0.000000
103.657400,117.236364,117.236364,0.000000,0.000000
103.936800,117.236364,117.236364,0.000000,0.000000
104.216200,117.236364,117.236364,0.000000,0.000000
104.495600,117.236364,117.236364,0.000000,0.000000
104.775000,117.236364,117.236364,0.000000,0.000000
105.054400,117.236364,117.236364,0.000000,0.000000
105.333800,117.236364,117.236364,0.000000,0.000000
105.613200,117.236364,117.236364,0.000000,0.000000
105.892600,117.236364,117.236364,0.000000,0.000000
106.172000,117.236364,117.236364,0.000000,0.000000
106.451400,117.236364,117.236364,0.000000,0.000000
106.730800,117.236364,117.236364,0.000000,0.000000
107.010200,117.236364,117.236364,0.000000,0.000000
107.289600,117.236364,117.236364,0.000000,0.000000
107.569000,117.236364,117.236364,0.000000,0.000000
107.848400,117.236364,117.236364,0.000000,0.000000
108.127800,117.236364,117.236364,0.000000,0.000000
108.407200,117.236364,117.236364,0.000000,0.000000
108.686600,117.236364,117.236364,0.000000,0.000000
108.966000,117.236364,117.236364,0.000000,0.000000
109.245400,117.236364,117.236364,0.000000,0.000000
109.524800,117.236364,117.236364,0.000000,0.000000
109.804200,117.236364,117.236364,0.000000,0.000000
